Binary,Event Type,Event
/System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd,notify_register_dispatch,com.apple.corespeech.corespeechd.launch
/System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd,notify_register_dispatch,com.apple.duetscheduler.restartCheckNotification
/System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd,notify_register_dispatch,com.apple.coreaudio.BorealisToggled
/System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd,notify_register_dispatch,com.apple.springboard.finishedstartup
/System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd,notify_register_dispatch,com.apple.corespeech.opportunelistner.start
/System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd,notify_register_dispatch,com.apple.corespeech.opportunelistner.stop
/System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd,notify_register_dispatch,com.apple.mobile.keybagd.first_unlock
/System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd,notify_register_dispatch,com.apple.MobileAsset.SpeechEndpointAssets.ma.cached-metadata-updated
/System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd,notify_post,com.apple.request.hipuncap
/System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd,notify_post,com.apple.telephonyutilities.callservicesdaemon.connectionrequest
/System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd,notify_post,com.apple.telephonyutilities.callservicesdaemon.voicemailcallended
/System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd,notify_post,CSDConversationManagerClientsShouldConnectNotification
/System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd,notify_register_check,com.apple.request.hipuncap
/System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd,notify_register_check,com.apple.telephonyutilities.callservicesdaemon.connectionrequest
/System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd,notify_register_check,CSDConversationManagerClientsShouldConnectNotification
/System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd,notify_register_dispatch,com.apple.language.changed
